Benchmark,LLC_MPKI_Baseline,LLC_MPKI_TimeCache,Normalized_Exec_Time
perlbench,0.0099,0.0495,1.009586373654591
gcc,1.0265,1.05343,1.0012727674545778
bwaves,3.41498,4.46915,0.956359336286508
mcf,0.82445,4.87416,1.0664084969837413
cactuBSSN,0.325387,2.16046,1.1021298394038772
lbm,5.43163,6.21029,1.1512478989710568
omnetpp,0.988675,2.41945,1.109065203346171
wrf,0.590612,5.29338,1.435462321667153
xalancbmk,0.0292125,0.2432,1.0499443025593653
x264,0.170887,0.228887,1.007028149549563
cam4,0.105275,1.01556,1.0656449553001277
pop2,0.374437,1.40075,1.091301462263537
fotonik3d,1.10343,2.2409,1.0203111054443452
roms,0.461238,1.57537,1.074105595283812
xz,0.1651,0.718313,1.0828657605781942
